Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Indiana Jones and the Kingdom of the Crystal Skull,"$790,653,942","$317,101,119",40.1%,"$473,552,823",59.9%,2008
Spider-Man 2,"$788,976,453","$373,585,825",47.4%,"$415,390,628",52.6%,2004
Fast & Furious 6,"$788,680,968","$238,679,850",30.3%,"$550,001,118",69.7%,2013
Deadpool 2,"$785,896,609","$324,591,735",41.3%,"$461,304,874",58.7%,2018
Deadpool,"$782,836,791","$363,070,709",46.4%,"$419,766,082",53.6%,2016
Star Wars: Episode IV - A New Hope,"$775,398,007","$460,998,507",59.4%,"$314,399,500",40.6%,1977
Guardians of the Galaxy,"$773,350,147","$333,718,600",43.2%,"$439,631,547",56.8%,2014
The Da Vinci Code,"$760,006,945","$217,536,138",28.6%,"$542,470,807",71.4%,2006
Fast & Furious Presents: Hobbs & Shaw,"$759,056,935","$173,956,935",22.9%,"$585,100,000",77.1%,2019
Maleficent,"$758,411,779","$241,410,378",31.8%,"$517,001,401",68.2%,2014
The Amazing Spider-Man,"$757,930,663","$262,030,663",34.6%,"$495,900,000",65.4%,2012
No Time to Die,"$755,969,024","$158,081,024",20.9%,"$597,888,000",79.1%,2021
The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.6%,"$418,220,826",55.4%,2014
Shrek Forever After,"$752,600,867","$238,736,787",31.7%,"$513,864,080",68.3%,2010
Madagascar 3: Europe's Most Wanted,"$746,921,274","$216,391,482",29%,"$530,529,792",71%,2012
Suicide Squad,"$746,846,894","$325,100,054",43.5%,"$421,746,840",56.5%,2016
X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.4%,"$512,124,166",68.6%,2014
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$745,013,115","$291,710,957",39.2%,"$453,302,158",60.8%,2005
Monsters University,"$743,559,645","$268,492,764",36.1%,"$475,066,881",63.9%,2013
The Matrix Reloaded,"$741,847,937","$281,576,461",38%,"$460,271,476",62%,2003
Up,"$735,099,102","$293,004,164",39.9%,"$442,094,938",60.1%,2009
Ne Zha,"$726,264,074","$3,695,533",0.5%,"$722,568,541",99.5%,2019
F9: The Fast Saga,"$726,229,501","$173,005,945",23.8%,"$553,223,556",76.2%,2021
Gravity,"$723,192,705","$274,092,705",37.9%,"$449,100,000",62.1%,2013
Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.4%,"$454,654,931",63.6%,2014
The Twilight Saga: Breaking Dawn - Part 1,"$712,205,856","$281,287,133",39.5%,"$430,918,723",60.5%,2011
The Twilight Saga: New Moon,"$711,025,481","$297,816,253",41.9%,"$413,209,228",58.1%,2009
Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.4%,"$502,098,977",70.6%,2014
Transformers,"$709,709,780","$319,246,193",45%,"$390,463,587",55%,2007
The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.6%,"$506,128,390",71.4%,2014
It,"$701,796,444","$328,828,874",46.9%,"$372,967,570",53.1%,2017
Interstellar,"$701,729,206","$188,020,017",26.8%,"$513,709,189",73.2%,2014
The Wandering Earth,"$699,992,512","$5,971,413",0.8%,"$694,021,099",99.2%,2019
The Twilight Saga: Eclipse,"$698,491,347","$300,531,751",43%,"$397,959,596",57%,2010
Mission: Impossible - Ghost Protocol,"$694,713,380","$209,397,903",30.1%,"$485,315,477",69.9%,2011
The Hunger Games,"$694,394,724","$408,010,692",58.8%,"$286,384,032",41.2%,2012
Detective Chinatown 3,"$686,257,563",-,-,"$686,257,563",100%,2021
Mission: Impossible - Rogue Nation,"$682,716,636","$195,042,377",28.6%,"$487,674,259",71.4%,2015
Forrest Gump,"$678,226,133","$330,455,270",48.7%,"$347,770,863",51.3%,1994
Doctor Strange,"$677,796,076","$232,641,920",34.3%,"$445,154,156",65.7%,2016
The Sixth Sense,"$672,806,432","$293,506,292",43.6%,"$379,300,140",56.4%,1999
Man of Steel,"$668,045,518","$291,045,518",43.6%,"$377,000,000",56.4%,2013
Ice Age: The Meltdown,"$667,094,506","$195,330,621",29.3%,"$471,763,885",70.7%,2006
Kung Fu Panda 2,"$665,692,281","$165,249,063",24.8%,"$500,443,218",75.2%,2011
The Hunger Games: Mockingjay - Part 2,"$658,344,137","$281,723,902",42.8%,"$376,620,235",57.2%,2015
Justice League,"$657,926,987","$229,024,295",34.8%,"$428,902,692",65.2%,2017
Big Hero 6,"$657,869,686","$222,527,828",33.8%,"$435,341,858",66.2%,2014
Fantastic Beasts: The Crimes of Grindelwald,"$654,855,901","$159,555,901",24.4%,"$495,300,000",75.6%,2018
Pirates of the Caribbean: The Curse of the Black Pearl,"$654,264,015","$305,413,918",46.7%,"$348,850,097",53.3%,2003
Star Wars: Episode II - Attack of the Clones,"$653,779,970","$310,676,740",47.5%,"$343,103,230",52.5%,2002
Thor: The Dark World,"$644,783,140","$206,362,140",32%,"$438,421,000",68%,2013
Moana,"$644,136,488","$248,757,044",38.6%,"$395,379,444",61.4%,2016
Sing,"$634,208,384","$270,448,425",42.6%,"$363,759,959",57.4%,2016
Kung Fu Panda,"$631,746,197","$215,434,591",34.1%,"$416,311,606",65.9%,2008
The Incredibles,"$631,607,053","$261,441,092",41.4%,"$370,165,961",58.6%,2004
The Martian,"$630,162,448","$228,433,663",36.2%,"$401,728,785",63.8%,2015
Hancock,"$629,443,428","$227,946,274",36.2%,"$401,497,154",63.8%,2008
Fast Five,"$626,137,675","$209,837,675",33.5%,"$416,300,000",66.5%,2011
Men in Black 3,"$624,026,776","$179,020,854",28.7%,"$445,005,922",71.3%,2012
Iron Man 2,"$623,933,331","$312,433,331",50.1%,"$311,500,000",49.9%,2010
Ratatouille,"$623,726,085","$206,445,654",33.1%,"$417,280,431",66.9%,2007
Ant-Man and the Wasp,"$622,674,139","$216,648,740",34.8%,"$406,025,399",65.2%,2018
How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.5%,"$444,534,595",71.5%,2014
Logan,"$619,179,950","$226,277,068",36.5%,"$392,902,882",63.5%,2017
The Lost World: Jurassic Park,"$618,638,999","$229,086,679",37%,"$389,552,320",63%,1997
Casino Royale,"$616,502,912","$167,445,960",27.2%,"$449,056,952",72.8%,2006
The Passion of the Christ,"$612,054,506","$370,782,930",60.6%,"$241,271,576",39.4%,2004
Mamma Mia!,"$611,257,819","$144,169,664",23.6%,"$467,088,155",76.4%,2008
Life of Pi,"$609,016,565","$124,987,023",20.5%,"$484,029,542",79.5%,2012
Transformers: The Last Knight,"$605,425,157","$130,168,683",21.5%,"$475,256,474",78.5%,2017
Madagascar: Escape 2 Africa,"$603,900,354","$180,010,950",29.8%,"$423,889,404",70.2%,2008
War of the Worlds,"$603,873,119","$234,280,354",38.8%,"$369,592,765",61.2%,2005
Tangled,"$592,462,816","$200,821,936",33.9%,"$391,640,880",66.1%,2010
Quantum of Solace,"$589,580,482","$168,368,427",28.6%,"$421,212,055",71.4%,2008
Men in Black,"$589,390,539","$250,690,539",42.5%,"$338,700,000",57.5%,1997
The Croods,"$587,235,983","$187,168,425",31.9%,"$400,067,558",68.1%,2013
The Hangover Part II,"$586,764,305","$254,464,305",43.4%,"$332,300,000",56.6%,2011
Iron Man,"$585,796,247","$319,034,126",54.5%,"$266,762,121",45.5%,2008
I Am Legend,"$585,410,052","$256,393,010",43.8%,"$329,017,042",56.2%,2007
Ready Player One,"$582,893,671","$137,690,172",23.6%,"$445,203,499",76.4%,2018
"Monsters, Inc.","$579,707,738","$290,642,256",50.1%,"$289,065,482",49.9%,2001
Operation Red Sea,"$579,330,426","$1,543,547",0.3%,"$577,786,879",99.7%,2018
Night at the Museum,"$574,481,229","$250,863,268",43.7%,"$323,617,961",56.3%,2006
Fifty Shades of Grey,"$569,651,467","$166,167,230",29.2%,"$403,484,237",70.8%,2015
Kong: Skull Island,"$566,652,812","$168,052,812",29.7%,"$398,600,000",70.3%,2017
The Smurfs,"$563,749,323","$142,614,158",25.3%,"$421,135,165",74.7%,2011
Cars 2,"$559,852,396","$191,452,396",34.2%,"$368,400,000",65.8%,2011
King Kong,"$556,906,378","$218,080,025",39.2%,"$338,826,353",60.8%,2005
Puss in Boots,"$554,987,477","$149,260,504",26.9%,"$405,726,973",73.1%,2011
The Mermaid,"$553,810,228","$3,232,685",0.6%,"$550,577,543",99.4%,2016
Armageddon,"$553,709,788","$201,578,182",36.4%,"$352,131,606",63.6%,1998
The Day After Tomorrow,"$552,639,571","$186,740,799",33.8%,"$365,898,772",66.2%,2004
Ted,"$549,368,315","$218,815,487",39.8%,"$330,552,828",60.2%,2012
American Sniper,"$547,426,372","$350,126,372",64%,"$197,300,000",36%,2014
Mission: Impossible II,"$546,388,108","$215,409,889",39.4%,"$330,978,219",60.6%,2000
Detective Chinatown 2,"$544,185,156","$1,983,984",0.4%,"$542,201,172",99.6%,2018
X-Men: Apocalypse,"$543,934,105","$155,442,489",28.6%,"$388,491,616",71.4%,2016
Sherlock Holmes: A Game of Shadows,"$543,848,418","$186,848,418",34.4%,"$357,000,000",65.6%,2011
Despicable Me,"$543,113,985","$251,513,985",46.3%,"$291,600,000",53.7%,2010
Cinderella,"$542,358,331","$201,151,353",37.1%,"$341,206,978",62.9%,2015
Madagascar,"$542,063,846","$193,595,521",35.7%,"$348,468,325",64.3%,2005
World War Z,"$540,455,876","$202,807,711",37.5%,"$337,648,165",62.5%,2013
Brave,"$538,983,207","$237,283,207",44%,"$301,700,000",56%,2012
Star Wars: Episode V - The Empire Strikes Back,"$538,375,067","$292,753,960",54.4%,"$245,621,107",45.6%,1980
The Simpsons Movie,"$536,414,293","$183,135,014",34.1%,"$353,279,279",65.9%,2007
The Revenant,"$532,950,503","$183,637,894",34.5%,"$349,312,609",65.5%,2015
The Meg,"$530,438,278","$145,443,742",27.4%,"$384,994,536",72.6%,2018
Ralph Breaks the Internet,"$529,323,962","$201,091,711",38%,"$328,232,251",62%,2018
Hotel Transylvania 3: Summer Vacation,"$528,583,774","$167,510,016",31.7%,"$361,073,758",68.3%,2018
The Boss Baby,"$527,965,936","$175,003,033",33.2%,"$352,962,903",66.8%,2017
Dunkirk,"$527,016,307","$189,740,665",36%,"$337,275,642",64%,2017
Godzilla,"$524,976,069","$200,676,069",38.2%,"$324,300,000",61.8%,2014
How to Train Your Dragon: The Hidden World,"$524,389,083","$160,799,505",30.7%,"$363,589,578",69.3%,2019
Sherlock Holmes,"$524,028,679","$209,028,679",39.9%,"$315,000,000",60.1%,2009
Meet the Fockers,"$522,657,936","$279,261,160",53.4%,"$243,396,776",46.6%,2004
WALL·E,"$521,311,890","$223,808,164",42.9%,"$297,503,726",57.1%,2008
Kung Fu Panda 3,"$521,170,825","$143,528,619",27.5%,"$377,642,206",72.5%,2016
Terminator 2: Judgment Day,"$520,881,154","$205,881,154",39.5%,"$315,000,000",60.5%,1991
Ant-Man,"$519,311,965","$180,202,163",34.7%,"$339,109,802",65.3%,2015
The Grinch,"$512,599,116","$271,094,731",52.9%,"$241,504,385",47.1%,2018
Ghost,"$505,703,557","$217,631,306",43%,"$288,072,251",57%,1990
Aladdin,"$504,050,219","$217,350,219",43.1%,"$286,700,000",56.9%,1992
Rio 2,"$498,781,117","$131,538,435",26.4%,"$367,242,682",73.6%,2014
Troy,"$497,409,852","$133,378,256",26.8%,"$364,031,596",73.2%,2004
Toy Story 2,"$497,375,381","$245,852,179",49.4%,"$251,523,202",50.6%,1999
How to Train Your Dragon,"$494,879,471","$217,581,231",44%,"$277,298,240",56%,2010
Twister,"$494,471,524","$241,721,524",48.9%,"$252,750,000",51.1%,1996
Oz the Great and Powerful,"$493,311,825","$234,911,825",47.6%,"$258,400,000",52.4%,2013
Clash of the Titans,"$493,214,993","$163,214,888",33.1%,"$330,000,105",66.9%,2010
Maleficent: Mistress of Evil,"$491,730,089","$113,929,605",23.2%,"$377,800,484",76.8%,2019
War for the Planet of the Apes,"$490,719,763","$146,880,162",29.9%,"$343,839,601",70.1%,2017
Shrek,"$487,853,320","$267,665,011",54.9%,"$220,188,309",45.1%,2001
Mr. & Mrs. Smith,"$487,287,646","$186,336,279",38.2%,"$300,951,367",61.8%,2005
Angels & Demons,"$485,930,816","$133,375,846",27.4%,"$352,554,970",72.6%,2009
Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.4%,"$293,800,000",60.6%,2014
