Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
Kung Fu Yoga,"$257,753,889","$362,657",0.1%,"$257,391,232",99.9%,2017
Annabelle,"$257,579,282","$84,273,813",32.7%,"$173,305,469",67.3%,2014
The Village,"$256,697,520","$114,197,520",44.5%,"$142,500,000",55.5%,2003
Lost in Hong Kong,"$256,283,912","$1,302,281",0.5%,"$254,981,631",99.5%,2015
Erin Brockovich,"$256,271,286","$125,595,205",49%,"$130,676,081",51%,2000
Pegasus,"$255,863,112",-,-,"$255,863,112",100%,2019
Marley & Me,"$255,743,093","$143,153,751",56%,"$112,589,342",44%,2008
Halloween,"$255,614,941","$159,342,015",62.3%,"$96,272,926",37.7%,2018
Get Out,"$255,589,157","$176,040,665",68.9%,"$79,548,492",31.1%,2016
Us,"$255,185,482","$175,084,580",68.6%,"$80,100,902",31.4%,2019
Cliffhanger,"$255,000,211","$84,049,211",33%,"$170,951,000",67%,1993
Baahubali 2: The Conclusion,"$254,158,390","$20,186,659",7.9%,"$233,971,731",92.1%,2017
Babe,"$254,134,910","$63,658,910",25%,"$190,476,000",75%,1995
Men in Black: International,"$253,890,701","$80,001,807",31.5%,"$173,888,894",68.5%,2019
Wild Hogs,"$253,625,427","$168,273,550",66.4%,"$85,351,877",33.6%,2007
High School Musical 3: Senior Year,"$252,909,177","$90,559,416",35.8%,"$162,349,761",64.2%,2008
Hercules,"$252,712,101","$99,112,101",39.2%,"$153,600,000",60.8%,1997
X-Men: Dark Phoenix,"$252,442,974","$65,845,974",26.1%,"$186,597,000",73.9%,2019
True Grit,"$252,276,927","$171,243,005",67.9%,"$81,033,922",32.1%,2010
Bean,"$251,212,670","$45,319,423",18%,"$205,893,247",82%,1997
American Hustle,"$251,171,807","$150,117,807",59.8%,"$101,054,000",40.2%,2013
Enemy of the State,"$250,849,789","$111,549,836",44.5%,"$139,299,953",55.5%,1998
You've Got Mail,"$250,821,495","$115,821,495",46.2%,"$135,000,000",53.8%,1998
Eragon,"$250,425,512","$75,030,163",30%,"$175,395,349",70%,2006
Brother Bear,"$250,397,798","$85,336,277",34.1%,"$165,061,521",65.9%,2003
The Mask of Zorro,"$250,288,523","$94,095,523",37.6%,"$156,193,000",62.4%,1998
The Ring,"$249,348,933","$129,128,133",51.8%,"$120,220,800",48.2%,2002
The Blair Witch Project,"$248,639,099","$140,539,099",56.5%,"$108,100,000",43.5%,1999
Unbreakable,"$248,118,121","$95,011,339",38.3%,"$153,106,782",61.7%,2000
Journey to the West: The Demons Strike Back,"$247,585,244","$880,346",0.4%,"$246,704,898",99.6%,2017
Dumb and Dumber,"$247,275,374","$127,175,374",51.4%,"$120,100,000",48.6%,1994
Glass,"$246,999,039","$111,048,468",45%,"$135,950,571",55%,2019
Grown Ups 2,"$246,984,278","$133,668,525",54.1%,"$113,315,753",45.9%,2013
The Peanuts Movie,"$246,233,113","$130,178,411",52.9%,"$116,054,702",47.1%,2015
The Godfather,"$246,120,986","$134,966,411",54.8%,"$111,154,575",45.2%,1972
Rango,"$245,724,603","$123,477,607",50.2%,"$122,246,996",49.8%,2011
Four Weddings and a Funeral,"$245,700,832","$52,700,832",21.4%,"$193,000,000",78.6%,1994
Face/Off,"$245,676,146","$112,276,146",45.7%,"$133,400,000",54.3%,1997
Teenage Mutant Ninja Turtles: Out of the Shadows,"$245,623,848","$82,051,601",33.4%,"$163,572,247",66.6%,2016
Dark Shadows,"$245,527,149","$79,727,149",32.5%,"$165,800,000",67.5%,2012
Dolittle,"$245,438,444","$77,047,065",31.4%,"$168,391,379",68.6%,2020
Hulk,"$245,285,165","$132,177,234",53.9%,"$113,107,931",46.1%,2003
Love Actually,"$245,203,167","$59,696,144",24.4%,"$185,507,023",75.6%,2003
The Bravest,"$245,179,562","$290,217",0.1%,"$244,889,345",99.9%,2019
Welcome to the Sticks,"$245,144,417",-,-,"$245,144,417",100%,2008
Back to the Future Part III,"$245,077,583","$88,277,583",36%,"$156,800,000",64%,1990
Pixels,"$244,874,809","$78,747,585",32.2%,"$166,127,224",67.8%,2015
Hercules,"$244,819,862","$72,688,614",29.7%,"$172,131,248",70.3%,2014
Rush Hour,"$244,721,064","$141,186,864",57.7%,"$103,534,200",42.3%,1998
Journey to the Center of the Earth,"$244,232,688","$101,704,370",41.6%,"$142,528,318",58.4%,2008
After Earth,"$243,611,982","$60,522,097",24.8%,"$183,089,885",75.2%,2013
A Few Good Men,"$243,240,178","$141,340,178",58.1%,"$101,900,000",41.9%,1992
Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.4%,"$118,135,851",48.6%,2009
8 Mile,"$242,875,078","$116,750,901",48.1%,"$126,124,177",51.9%,2002
Daddy's Home,"$242,786,137","$150,357,137",61.9%,"$92,429,000",38.1%,2015
RoboCop,"$242,688,965","$58,607,007",24.2%,"$184,081,958",75.8%,2014
Eraser,"$242,295,562","$101,295,562",41.8%,"$141,000,000",58.2%,1996
Alien: Covenant,"$240,891,763","$74,262,031",30.8%,"$166,629,732",69.2%,2017
Sully,"$240,797,623","$125,070,033",51.9%,"$115,727,590",48.1%,2016
Assassin's Creed,"$240,697,856","$54,647,948",22.7%,"$186,049,908",77.3%,2016
Click,"$240,685,326","$137,355,633",57.1%,"$103,329,693",42.9%,2006
Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%,2020
Resident Evil: Retribution,"$240,159,255","$42,345,531",17.6%,"$197,813,724",82.4%,2012
Die Hard 2,"$240,031,274","$117,540,947",49%,"$122,490,327",51%,1990
Crocodile Dundee II,"$239,606,210","$109,306,210",45.6%,"$130,300,000",54.4%,1988
Planes,"$239,258,712","$90,288,712",37.7%,"$148,970,000",62.3%,2013
Crazy Rich Asians,"$238,539,198","$174,532,921",73.2%,"$64,006,277",26.8%,2018
Batman & Robin,"$238,235,719","$107,353,792",45.1%,"$130,881,927",54.9%,1997
Downton Abbey,"$237,860,050","$96,854,135",40.7%,"$141,005,915",59.3%,2019
Gulliver's Travels,"$237,382,724","$42,779,261",18%,"$194,603,463",82%,2010
Gone in 60 Seconds,"$237,202,299","$101,648,571",42.8%,"$135,553,728",57.2%,2000
Saturday Night Fever,"$237,113,184","$94,213,184",39.7%,"$142,900,000",60.3%,1977
Silver Linings Playbook,"$236,412,453","$132,092,958",55.9%,"$104,319,495",44.1%,2012
2 Fast 2 Furious,"$236,350,661","$127,154,901",53.8%,"$109,195,760",46.2%,2003
Howl's Moving Castle,"$236,214,446","$5,576,743",2.4%,"$230,637,703",97.6%,2004
Hidden Figures,"$235,956,898","$169,607,287",71.9%,"$66,349,611",28.1%,2016
A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.3%,"$157,309,863",66.7%,2001
Dead Poets Society,"$235,860,116","$95,860,116",40.6%,"$140,000,000",59.4%,1989
Spy,"$235,666,219","$110,825,712",47%,"$124,840,507",53%,2015
American Pie,"$235,483,004","$102,561,004",43.6%,"$132,922,000",56.4%,1999
American Reunion,"$234,989,584","$57,011,521",24.3%,"$177,978,063",75.7%,2012
Big Daddy,"$234,801,895","$163,479,795",69.6%,"$71,322,100",30.4%,1999
Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.6%,"$148,911,649",63.4%,2015
The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025",61%,2014
Cruella,"$233,274,812","$86,103,234",36.9%,"$147,171,578",63.1%,2021
The Day the Earth Stood Still,"$233,093,859","$79,366,978",34%,"$153,726,881",66%,2008
American Wedding,"$232,722,935","$104,565,114",44.9%,"$128,157,821",55.1%,2003
The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.1%,"$130,101,637",55.9%,2011
Juno,"$232,372,681","$143,495,265",61.8%,"$88,877,416",38.2%,2007
Argo,"$232,325,503","$136,025,503",58.6%,"$96,300,000",41.4%,2012
Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.3%,"$198,923,741",85.7%,2007
The English Patient,"$231,976,425","$78,676,425",33.9%,"$153,300,000",66.1%,1996
Sister Act,"$231,605,150","$139,605,150",60.3%,"$92,000,000",39.7%,1992
Annabelle Comes Home,"$231,252,591","$74,152,591",32.1%,"$157,100,000",67.9%,2019
Constantine,"$230,884,728","$75,976,178",32.9%,"$154,908,550",67.1%,2005
Get Smart,"$230,685,453","$130,319,208",56.5%,"$100,366,245",43.5%,2008
Space Jam,"$230,418,342","$90,418,342",39.2%,"$140,000,000",60.8%,1996
Life Is Beautiful,"$230,098,753","$57,563,264",25%,"$172,535,489",75%,1998
The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6%,1996
Ghostbusters,"$229,147,509","$128,350,574",56%,"$100,796,935",44%,2016
Ghost Rider,"$228,738,393","$115,802,596",50.6%,"$112,935,797",49.4%,2007
Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.6%,"$226,829,302",99.4%,2015
Paddington 2,"$227,978,645","$40,891,591",17.9%,"$187,087,054",82.1%,2017
Sleepless in Seattle,"$227,927,165","$126,808,165",55.6%,"$101,119,000",44.4%,1993
Lethal Weapon 2,"$227,853,986","$147,253,986",64.6%,"$80,600,000",35.4%,1989
The Green Hornet,"$227,817,248","$98,780,042",43.4%,"$129,037,206",56.6%,2011
Out of Africa,"$227,514,205","$87,071,205",38.3%,"$140,443,000",61.7%,1985
Youth,"$227,091,290","$1,891,956",0.8%,"$225,199,334",99.2%,2017
Baby Driver,"$226,945,087","$107,825,862",47.5%,"$119,119,225",52.5%,2017
Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2%,2011
Taken,"$226,837,760","$145,000,989",63.9%,"$81,836,771",36.1%,2008
Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.2%,"$137,728,906",60.8%,2010
Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.6%,"$170,646,274",75.4%,2013
Valerian and the City of a Thousand Planets,"$225,973,340","$41,189,488",18.2%,"$184,783,852",81.8%,2017
Good Will Hunting,"$225,933,435","$138,433,435",61.3%,"$87,500,000",38.7%,1997
Better Days,"$225,918,798","$1,921,657",0.8%,"$223,997,141",99.2%,2019
Ford v Ferrari,"$225,508,210","$117,624,357",52.2%,"$107,883,853",47.8%,2019
Jumper,"$225,132,113","$80,172,128",35.6%,"$144,959,985",64.4%,2008
The Social Network,"$224,920,375","$96,962,694",43.1%,"$127,957,681",56.9%,2010
Chicken Run,"$224,834,564","$106,834,564",47.5%,"$118,000,000",52.5%,2000
Con Air,"$224,012,234","$101,117,573",45.1%,"$122,894,661",54.9%,1997
Elf,"$223,853,736","$176,630,408",78.9%,"$47,223,328",21.1%,2003
Interview with the Vampire: The Vampire Chronicles,"$223,664,608","$105,264,608",47.1%,"$118,400,000",52.9%,1994
Flightplan,"$223,387,299","$89,707,299",40.2%,"$133,680,000",59.8%,2005
Yes Man,"$223,241,637","$97,690,976",43.8%,"$125,550,661",56.2%,2008
Non-Stop,"$222,809,600","$92,168,600",41.4%,"$130,641,000",58.6%,2014
"Honey, I Shrunk the Kids","$222,724,172","$130,724,172",58.7%,"$92,000,000",41.3%,1989
Fahrenheit 9/11,"$222,446,882","$119,194,771",53.6%,"$103,252,111",46.4%,2004
Wild Wild West,"$222,104,681","$113,804,681",51.2%,"$108,300,000",48.8%,1999
"My Country, My Parents","$221,697,831","$166,807",<0.1%,"$221,531,024",99.9%,2021
Geostorm,"$221,600,160","$33,700,160",15.2%,"$187,900,000",84.8%,2017
Presumed Innocent,"$221,303,188","$86,303,188",39%,"$135,000,000",61%,1990
Scary Movie 3,"$220,673,217","$110,003,217",49.8%,"$110,670,000",50.2%,2003
Collateral,"$220,239,925","$101,005,703",45.9%,"$119,234,222",54.1%,2004
Inferno,"$220,021,259","$34,343,574",15.6%,"$185,677,685",84.4%,2016
Knocked Up,"$219,922,417","$148,768,917",67.6%,"$71,153,500",32.4%,2007
Green Lantern,"$219,851,172","$116,601,172",53%,"$103,250,000",47%,2011
What Happens in Vegas,"$219,375,562","$80,277,646",36.6%,"$139,097,916",63.4%,2008
Jungle Cruise,"$219,339,128","$116,987,516",53.3%,"$102,351,612",46.7%,2021
It's Complicated,"$219,103,655","$112,735,375",51.4%,"$106,368,280",48.6%,2009
The Terminal,"$219,100,084","$77,872,883",35.5%,"$141,227,201",64.5%,2004
Captain Phillips,"$218,791,811","$107,100,855",49%,"$111,690,956",51%,2013
The Prince of Egypt,"$218,613,188","$101,413,188",46.4%,"$117,200,000",53.6%,1998
Jack Reacher,"$218,340,595","$80,070,736",36.7%,"$138,269,859",63.3%,2012
Kingdom of Heaven,"$218,122,627","$47,398,413",21.7%,"$170,724,214",78.3%,2005
The Emoji Movie,"$217,776,646","$86,089,513",39.5%,"$131,687,133",60.5%,2017
Dracula Untold,"$217,124,280","$56,280,355",25.9%,"$160,843,925",74.1%,2014
Central Intelligence,"$216,972,543","$127,440,871",58.7%,"$89,531,672",41.3%,2016
Million Dollar Baby,"$216,763,646","$100,492,203",46.4%,"$116,271,443",53.6%,2004
The Help,"$216,639,112","$169,708,112",78.3%,"$46,931,000",21.7%,2011
Twins,"$216,614,388","$111,938,388",51.7%,"$104,676,000",48.3%,1988
Little Women,"$216,601,214","$108,101,214",49.9%,"$108,500,000",50.1%,2019
Valentine's Day,"$216,485,654","$110,485,654",51%,"$106,000,000",49%,2010
Bad Teacher,"$216,197,492","$100,292,856",46.4%,"$115,904,636",53.6%,2011
A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%,2020
The Croods: A New Age,"$215,905,815","$58,568,815",27.1%,"$157,337,000",72.9%,2020
Clear and Present Danger,"$215,887,717","$122,187,717",56.6%,"$93,700,000",43.4%,1994
One Hundred and One Dalmatians,"$215,880,014","$144,880,014",67.1%,"$71,000,000",32.9%,1961
Ted 2,"$215,863,606","$81,476,385",37.7%,"$134,387,221",62.3%,2015
Dracula,"$215,862,692","$82,522,790",38.2%,"$133,339,902",61.8%,1992
Vertical Limit,"$215,663,859","$69,243,859",32.1%,"$146,420,000",67.9%,2000
Ghostbusters II,"$215,394,738","$112,494,738",52.2%,"$102,900,000",47.8%,1989
The Patriot,"$215,294,342","$113,330,342",52.6%,"$101,964,000",47.4%,2000
The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%,2010
Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011
The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,2014
Dirty Dancing,"$214,577,242","$64,577,242",30.1%,"$150,000,000",69.9%,1987
Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018
Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%,2009
Smallfoot,"$214,040,103","$83,240,103",38.9%,"$130,800,000",61.1%,2018
The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%,2002
Disclosure,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%,1994
Pulp Fiction,"$213,928,762","$107,928,762",50.4%,"$106,000,000",49.6%,1994
The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%,2004
"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",60%,"$85,446,864",40%,2000
Braveheart,"$213,216,216","$75,609,945",35.5%,"$137,606,271",64.5%,1995
Into the Woods,"$212,902,372","$128,002,372",60.1%,"$84,900,000",39.9%,2014
Bedtime Stories,"$212,874,864","$110,101,975",51.7%,"$102,772,889",48.3%,2008
Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%,2000
Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%,1999
Ace Ventura: When Nature Calls,"$212,385,533","$108,385,533",51%,"$104,000,000",49%,1995
End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%,1999
Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%,2016
Fury,"$211,822,697","$85,817,906",40.5%,"$126,004,791",59.5%,2014
Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011
Australia,"$211,787,511","$49,554,002",23.4%,"$162,233,509",76.6%,2008
Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%,2010
Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%,2003
A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9%,2004
The Little Mermaid,"$211,343,479","$111,543,479",52.8%,"$99,800,000",47.2%,1989
District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%,2009
Moonraker,"$210,308,099","$70,308,099",33.4%,"$140,000,000",66.6%,1979
The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%,2001
Horrible Bosses,"$209,838,559","$117,538,559",56%,"$92,300,000",44%,2011
Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018
Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002
Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015
Me Before You,"$208,314,186","$56,245,075",27%,"$152,069,111",73%,2016
Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%,2012
S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003
Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000
The Fast and the Furious,"$207,305,509","$144,533,925",69.7%,"$62,771,584",30.3%,2001
Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011
Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%,1993
Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999
The Holiday,"$205,850,134","$63,224,849",30.7%,"$142,625,285",69.3%,2006
The Jungle Book,"$205,843,612","$141,843,612",68.9%,"$64,000,000",31.1%,1967
Raging Fire,"$205,838,889","$385,305",0.2%,"$205,453,584",99.8%,2021
London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%,2016
The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,2006
Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013
JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%,1991
White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013
A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017
Ponyo,"$204,826,668","$15,743,471",7.7%,"$189,083,197",92.3%,2008
Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,2005
Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%,2010
You Don't Mess with the Zohan,"$204,313,400","$100,018,837",49%,"$104,294,563",51%,2008
The Addams Family,"$203,783,845","$100,723,831",49.4%,"$103,060,014",50.6%,2019
King Arthur,"$203,567,857","$51,882,244",25.5%,"$151,685,613",74.5%,2004
Hairspray,"$203,553,311","$118,871,849",58.4%,"$84,681,462",41.6%,2007
Yogi Bear,"$203,509,374","$100,246,011",49.3%,"$103,263,363",50.7%,2010
Everest,"$203,427,584","$43,482,270",21.4%,"$159,945,314",78.6%,2015
Vanilla Sky,"$203,388,341","$100,618,344",49.5%,"$102,769,997",50.5%,2001
Arrival,"$203,388,186","$100,546,139",49.4%,"$102,842,047",50.6%,2016
Need for Speed,"$203,277,636","$43,577,636",21.4%,"$159,700,000",78.6%,2014
Garfield,"$203,172,417","$75,369,589",37.1%,"$127,802,828",62.9%,2004
Patch Adams,"$202,292,902","$135,026,902",66.8%,"$67,266,000",33.2%,1998
Teenage Mutant Ninja Turtles,"$201,965,915","$135,265,915",67%,"$66,700,000",33%,1990
The Conjuring: The Devil Made Me Do It,"$201,965,074","$65,565,074",32.5%,"$136,400,000",67.5%,2021
Kindergarten Cop,"$201,957,688","$91,457,688",45.3%,"$110,500,000",54.7%,1990
Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%,2020
Straight Outta Compton,"$201,634,991","$161,197,785",80%,"$40,437,206",20%,2015
21 Jump Street,"$201,585,328","$138,447,667",68.7%,"$63,137,661",31.3%,2012
Valkyrie,"$201,545,517","$83,077,833",41.2%,"$118,467,684",58.8%,2008
Open Season,"$200,811,689","$85,105,259",42.4%,"$115,706,430",57.6%,2006
Cats & Dogs,"$200,687,492","$93,385,515",46.5%,"$107,301,977",53.5%,2001
The Hunt for Red October,"$200,512,643","$122,012,643",60.8%,"$78,500,000",39.2%,1990
Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.3%,"$131,290,761",65.7%,2013
Two Weeks Notice,"$199,043,471","$93,354,851",46.9%,"$105,688,620",53.1%,2002
RED,"$199,006,387","$90,380,162",45.4%,"$108,626,225",54.6%,2010
Shock Wave 2,"$198,921,659",-,-,"$198,921,659",100%,2020
City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4%,1998
The Pacifier,"$198,636,868","$113,086,868",56.9%,"$85,550,000",43.1%,2005
50 First Dates,"$198,520,934","$120,908,074",60.9%,"$77,612,860",39.1%,2004
Total Recall,"$198,467,168","$58,877,969",29.7%,"$139,589,199",70.3%,2012
The Island,"$198,326,350","$670,883",0.3%,"$197,655,467",99.7%,2018
The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4%,2012
Lost in Thailand,"$197,757,387","$57,387",<0.1%,"$197,700,000",100%,2012
Christopher Robin,"$197,744,377","$99,215,042",50.2%,"$98,529,335",49.8%,2018
Jack the Giant Slayer,"$197,687,603","$65,187,603",33%,"$132,500,000",67%,2013
Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.8%,"$152,163,264",77.2%,2017
Chinese Doctors,"$197,143,218",-,-,"$197,143,218",100%,2021
Spy Kids 3-D: Game Over,"$197,101,678","$111,761,982",56.7%,"$85,339,696",43.3%,2003
Panic Room,"$197,079,546","$96,397,334",48.9%,"$100,682,212",51.1%,2002
The Other Woman,"$196,710,396","$83,911,193",42.7%,"$112,799,203",57.3%,2014
Stargate,"$196,567,262","$71,567,262",36.4%,"$125,000,000",63.6%,1994
Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1%,2007
The Vow,"$196,114,570","$125,014,030",63.8%,"$71,100,540",36.2%,2012
Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7%,2003
Tropic Thunder,"$195,702,963","$110,515,313",56.5%,"$85,187,650",43.5%,2008
The Shape of Water,"$195,333,312","$63,859,435",32.7%,"$131,473,877",67.3%,2017
Rocketman,"$195,320,400","$96,368,160",49.3%,"$98,952,240",50.7%,2019
The Pelican Brief,"$195,268,056","$100,768,056",51.6%,"$94,500,000",48.4%,1993
The BFG,"$195,243,411","$55,483,770",28.4%,"$139,759,641",71.6%,2016
The Intern,"$194,564,672","$75,764,672",38.9%,"$118,800,000",61.1%,2015
Wallace & Gromit: The Curse of the Were-Rabbit,"$194,137,091","$56,110,897",28.9%,"$138,026,194",71.1%,2005
Gnomeo & Juliet,"$193,967,670","$99,967,670",51.5%,"$94,000,000",48.5%,2011
Weathering with You,"$193,932,489","$8,056,636",4.2%,"$185,875,853",95.8%,2019
The Sum of All Fears,"$193,921,372","$118,907,036",61.3%,"$75,014,336",38.7%,2002
Gangs of New York,"$193,772,504","$77,812,000",40.2%,"$115,960,504",59.8%,2002
The Monkey King 2,"$193,678,298","$709,982",0.4%,"$192,968,316",99.6%,2016
Paranormal Activity,"$193,355,800","$107,918,810",55.8%,"$85,436,990",44.2%,2009
The Equalizer,"$192,330,738","$101,530,738",52.8%,"$90,800,000",47.2%,2014
The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55%,"$86,500,000",45%,2019
Sheep Without a Shepherd,"$191,602,146",-,-,"$191,602,146",100%,2019
The Addams Family,"$191,502,426","$113,502,426",59.3%,"$78,000,000",40.7%,1991
The Longest Yard,"$191,466,556","$158,119,460",82.6%,"$33,347,096",17.4%,2005
The Santa Clause,"$190,539,357","$145,539,357",76.4%,"$45,000,000",23.6%,1994
Cheaper by the Dozen,"$190,538,630","$138,614,544",72.8%,"$51,924,086",27.2%,2003
The Equalizer 2,"$190,400,157","$102,084,362",53.6%,"$88,315,795",46.4%,2018
Hollow Man,"$190,213,455","$73,209,340",38.5%,"$117,004,115",61.5%,2000
Outbreak,"$189,859,560","$67,659,560",35.6%,"$122,200,000",64.4%,1995
The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.3%,"$188,786,919",99.7%,2019
The X Files,"$189,176,423","$83,898,313",44.4%,"$105,278,110",55.6%,1998
Breakup Buddies,"$189,017,596","$777,896",0.4%,"$188,239,700",99.6%,2014
Rambo III,"$189,015,611","$53,715,611",28.4%,"$135,300,000",71.6%,1988
The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",31%,"$129,896,484",69%,2013
Project Gutenberg,"$188,116,796",-,-,"$188,116,796",100%,2018
Jaws 2,"$187,884,007","$81,766,007",43.5%,"$106,118,000",56.5%,1978
12 Years a Slave,"$187,733,202","$56,671,993",30.2%,"$131,061,209",69.8%,2013
Heat,"$187,436,818","$67,436,818",36%,"$120,000,000",64%,1995
Mr. Popper's Penguins,"$187,361,754","$68,224,452",36.4%,"$119,137,302",63.6%,2011
The Grudge,"$187,281,115","$110,359,362",58.9%,"$76,921,753",41.1%,2004
I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.2%,"$67,074,561",35.8%,2007
The Horse Whisperer,"$186,883,563","$75,383,563",40.3%,"$111,500,000",59.7%,1998
Walk the Line,"$186,797,986","$119,519,402",64%,"$67,278,584",36%,2005
Jian Bing Man,"$186,699,768",-,-,"$186,699,768",100%,2015
The Jungle Book 2,"$186,303,759","$47,901,582",25.7%,"$138,402,177",74.3%,2003
The Final Destination,"$186,167,139","$66,477,700",35.7%,"$119,689,439",64.3%,2009
Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.2%,"$101,997,253",54.8%,2001
Inside Man,"$186,003,591","$88,513,495",47.6%,"$97,490,096",52.4%,2006
The Waterboy,"$185,991,646","$161,491,646",86.8%,"$24,500,000",13.2%,1998
Hugo,"$185,770,310","$73,864,507",39.8%,"$111,905,803",60.2%,2011
Pitch Perfect 3,"$185,400,345","$104,897,530",56.6%,"$80,502,815",43.4%,2017
Watchmen,"$185,382,813","$107,509,799",58%,"$77,873,014",42%,2009
The Birdcage,"$185,260,553","$124,060,553",67%,"$61,200,000",33%,1996
Moulin Rouge!,"$184,935,320","$57,386,607",31%,"$127,548,713",69%,2001
Snow White and the Seven Dwarfs,"$184,925,486","$184,925,486",100%,$0,-,1937
Hop,"$183,954,145","$108,085,305",58.8%,"$75,868,840",41.2%,2011
Bad Moms,"$183,936,074","$113,257,297",61.6%,"$70,678,777",38.4%,2016
Jupiter Ascending,"$183,887,723","$47,387,723",25.8%,"$136,500,000",74.2%,2015
Knowing,"$183,658,498","$79,957,634",43.5%,"$103,700,864",56.5%,2007
102 Dalmatians,"$183,611,771","$66,957,026",36.5%,"$116,654,745",63.5%,2000
Stand by Me Doraemon,"$183,442,714",-,-,"$183,442,714",100%,2014
Storks,"$183,388,953","$72,679,278",39.6%,"$110,709,675",60.4%,2016
Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.8%,"$37,012,251",20.2%,2009
Wayne's World,"$183,097,323","$121,697,323",66.5%,"$61,400,000",33.5%,1992
Maverick,"$183,031,272","$101,631,272",55.5%,"$81,400,000",44.5%,1994
Mirror Mirror,"$183,018,522","$64,935,167",35.5%,"$118,083,355",64.5%,2012
