Title,Year,Google_Users,Google user ratings,movie description
Pirates of the Caribbean: On Stranger Tides,2011,"['89% liked this film', 'Google users']","['4.6', '718 ratings']","['Description', 'Captain Jack Sparrow sets sail in search of the legendary fountain of youth. His mission puts him up against a mysterious woman from his past, an old enemy Barbossa and the feared pirate, Blackbeard.']"
Despicable Me 3,2017,"['84% liked this film', 'Google users']","['4.2', '569 ratings']","['Description', 'Gru meets his long-lost twin brother Dru, after getting fired from the Anti-Villain League. However, the siblings find themselves at loggerheads with a child actor-turned-villain.']"
Jurassic Park,1993,"['92% liked this film', 'Google users']","['4.8', '1721 ratings']","['Description', ""John Hammond, an entrepreneur, opens a wildlife park containing cloned dinosaurs. However, a breakdown of the island's security system causes the creatures to escape and bring about chaos.""]"
Finding Dory,2016,"['86% liked this film', 'Google users']","['4.4', '616 ratings']","['Description', 'With vague memories of her past, an amnesiac blue tang fish, Dory, sets off in search of her long-lost parents with the help of her friends, clownfish Marlin and his son Nemo.']"
Star Wars: Episode I - The Phantom Menace,1999,"['85% liked this film', 'Google users']","['3.9', '1683 ratings']","['Description', 'Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi set out to stop the Trade Federation from invading Naboo. While travelling, they come across a gifted boy, Anakin, and learn that the Sith have returned.']"
Alice in Wonderland,2010,"['88% liked this film', 'Google users']","['4.4', '1157 ratings']","['Description', 'Alice, now 19 years old, follows a rabbit in a blue coat to a magical wonderland from her dreams where she is reunited with her friends who make her realise her true destiny.']"
Zootopia,2016,"['90% liked this film', 'Google users']","['4.7', '2357 ratings']","['Description', 'When Judy Hopps, a rookie officer in the Zootopia Police Department, sniffs out a sinister plot, she enlists the help of a con artist to solve the case in order to prove her abilities to Chief Bogo.']"
The Hobbit: An Unexpected Journey,2012,"['87% liked this film', 'Google users']","['4.5', '1041 ratings']","['Description', 'Bilbo Baggins, a hobbit, is persuaded into accompanying a wizard and a group of dwarves on a journey to reclaim the city of Erebor and all its riches from the dragon Smaug.']"
Harry Potter and the Sorcerer's Stone,2001,"['93% liked this film', 'Google users']","['4.8', '8119 ratings']","['Description', 'Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him.']"
The Dark Knight,2008,"['94% liked this film', 'Google users']","['4.9', '6900 ratings']","['Description', ""After Gordon, Dent and Batman begin an assault on Gotham's organised crime, the mobs hire the Joker, a psychopathic criminal mastermind who offers to kill Batman and bring the city to its knees.""]"
Harry Potter and the Deathly Hallows: Part 1,2010,"['92% liked this film', 'Google users']","['4.8', '1739 ratings']","['Description', ""After Voldemort takes over the Ministry of Magic, Harry, Ron and Hermione are forced into hiding. They try to decipher the clues left to them by Dumbledore to find and destroy Voldemort's Horcruxes.""]"
Despicable Me 2,2013,"['85% liked this film', 'Google users']","['4.5', '413 ratings']","['Description', ""Now that Gru (Steve Carell) has forsaken a life of crime to raise Margo, Agnes and Edith, he's trying to figure out how to provide for his new family. As he struggles with his responsibilities as a father, the Anti-Villain League -- an organization dedicated to fighting evil -- comes calling. The AV"", ""L sends Gru on a mission to capture the perpetrator of a spectacular heist, for who would be better than the world's greatest ex-villain to capture the individual who seeks to usurp his power."", '…&nbsp;', 'MORE']"
