Title,Year,Google_Users,Google user ratings,movie description
Scooby-Doo,2002,"['82% liked this film', 'Google users']","['4.6', '591 ratings']","['Description', 'Zoinks! Two years after a clash of egos forced Mystery Inc. to close its doors, Scooby-Doo and his clever crime-solving cohorts Fred (Freddie Prinze Jr.), Daphne (Sarah Michelle Gellar), Shaggy (Matthew Lillard) and Velma (Linda Cardellini) are individually summoned to Spooky Island to investigate a', ' series of paranormal incidents at the ultra-hip Spring Break hot spot.', '…&nbsp;', 'MORE']"
Lincoln,2012,"['89% liked this film', 'Google users']","['4.5', '296 ratings']","['Description', 'Abraham Lincoln uses his powers as the president of the United States of America as he strives to abolish slavery and reunite his country during the Civil War.']"
Lara Croft: Tomb Raider,2001,"['80% liked this film', 'Google users']","['4.4', '131 ratings']","['Description', 'Lara Croft, an adventurer, embarks on a journey to find an artefact that possesses the ability to control time. A secret society wants to lay its hands on the relic for its own immoral purposes.']"
Tomb Raider,2018,"['78% liked this film', 'Google users']","['4.0', '611 ratings']","['Description', ""Lara Croft, a courageous and independent young woman, sets out on a dangerous journey to unravel the truth behind her adventurer father's mysterious disappearance.""]"
The Expendables,2010,"['88% liked this film', 'Google users']","['4.3', '283 ratings']","['Description', ""A CIA's mercenary team is ordered to assassinate the dictator of a South American island without knowing that their mission is viciously planned by a vindictive CIA officer, James Monroe.""]"
Cloudy with a Chance of Meatballs 2,2013,"['82% liked this film', 'Google users']","['4.1', '255 ratings']","['Description', 'When Flint learns that his machine is creating dangerous food-animal hybrids on Swallow Falls, he sets out with his friends to save his home. However, they soon realise that they have been deceived.']"
The Nutty Professor,1996,"['84% liked this film', 'Google users']","['4.4', '156 ratings']","['Description', 'Sherman, an extremely overweight genetics professor, falls in love with a colleague. But when he experiments on himself with a slimming potion, it not only trims him down but also makes him obnoxious.']"
Jerry Maguire,1996,"['87% liked this film', 'Google users']","['4.6', '321 ratings']","['Description', 'Sports agent Jerry Maguire tries to get back on his feet after being fired from his job. However, the only client he has is Rod Tidwell, a disgruntled football player who wants a better contract.']"
Bad Boys II,2003,"['89% liked this film', 'Google users']","['4.3', '260 ratings']","['Description', ""Mike and Marcus, the Miami Police Department detectives, investigate the flow of drugs into Miami. Their search leads them to a dangerous drug lord who is planning to control the city's drug trade.""]"
Lilo & Stitch,2002,"['89% liked this film', 'Google users']","['4.8', '675 ratings']","['Description', 'Stitch, an extraterrestrial entity, heads straight to planet Earth after he escapes his prison, where he tries to impersonate a dog. Things take a turn when Lilo adopts him from an animal shelter.']"
The Silence of the Lambs,1991,"['92% liked this film', 'Google users']","['4.7', '1498 ratings']","['Description', 'Clarice Starling, an FBI agent, seeks help from Hannibal Lecter, a psychopathic serial killer and former psychiatrist, in order to apprehend another serial killer who has been claiming female victims.']"
Grown Ups,2010,"['90% liked this film', 'Google users']","['4.6', '1218 ratings']","['Description', 'Five childhood friends take their families for a weekend trip to a lake house in their hometown, where they reunite to attend the funeral of their former high school basketball coach.']"
Neighbors,2014,"['83% liked this film', 'Google users']","['4.0', '203 ratings']","['Description', ""Mac and Kelly's peaceful suburban life is offset by a fraternity house next door, which is inhabited by constantly partying college students who refuse to be quiet no matter how hard the couple try.""]"
The Firm,1993,"['84% liked this film', 'Google users']","['4.2', '172 ratings']","['Description', 'Mitch is a lawyer who is lured by a big law firm with the promise of a bright future. Things do not go as planned after he finds himself embroiled in a murder case.']"
We're the Millers,2012,[],[],[]
Gran Torino,2008,"['93% liked this film', 'Google users']","['4.7', '870 ratings']","['Description', ""When Walt Kowalski's neighbour, Thao, tries to steal his 1972 Gran Torino, he decides to help him reform. However, Walt gets involved in a feud with a local gang leader when he saves Thao from them.""]"
"10,000 BC",2008,"['75% liked this film', 'Google users']","['3.9', '277 ratings']","['Description', ""D'Leh belongs to the tribe of hunters and gatherers who reside in the mountain range in the Urals. When his tribe is attacked, the love of his life is taken as prisoner and the men as slaves.""]"
American Gangster,2007,"['90% liked this film', 'Google users']","['4.7', '337 ratings']","['Description', ""Frank Lucas takes control of his boss Ellsworth Johnson's business after he dies of a heart attack. Soon, Lucas expands his control to various businesses while secretly running a drug cartel.""]"
Epic,2013,"['71% liked this film', 'Google users']","['4.4', '355 ratings']","['Description', 'When Mary, a 17-year-old teenager, shrinks in size, she discovers a world inhabited by strange creatures. Soon, she finds herself reluctantly pulled into a battle between good and evil forces.']"
Exodus: Gods and Kings,2014,"['75% liked this film', 'Google users']","['3.1', '491 ratings']","['Description', 'After learning of his true lineage, Moses, a former general, rises against Pharaoh Ramesses II to help the Hebrews escape from Egypt. He faces several challenges and is strongly opposed by Ramesses.']"
Bambi,1942,"['87% liked this film', 'Google users']","['4.6', '344 ratings']","['Description', 'Bambi is a young fawn who is chosen to become the next prince of the forest like his father. While living in the forest, he learns about friendship, love and how to protect his near and dear ones.']"
The Princess and the Frog,2009,"['90% liked this film', 'Google users']","['4.7', '1171 ratings']","['Description', 'A young waitress, Tiana, embarks on a hilarious adventure after her fateful kiss with a frog prince who cannot wait to be human again.']"
Batman Returns,1992,"['82% liked this film', 'Google users']","['4.4', '311 ratings']","['Description', ""When Max, an entrepreneur, and criminal Penguin team up to wreak havoc in Gotham City, Batman decides to stop them. Catwoman's alter ego, Selina Kyle, seeks revenge on Max for trying to kill her.""]"
Indecent Proposal,1993,"['74% liked this film', 'Google users']","['4.1', '289 ratings']","['Description', 'A couple hit by recession come across millionaire John Gage in Las Vegas, who proposes something that could solve their troubles but ruin their relationship.']"
Something's Gotta Give,2003,"['84% liked this film', 'Google users']","['4.4', '129 ratings']","['Description', 'While Harry is an aging Casanova who refuses to accept his age, Erica is an acclaimed dramatist. Unavoidable circumstances force these two individuals, who are poles apart in nature, to share a roof.']"
Bridget Jones: The Edge of Reason,2004,"['87% liked this film', 'Google users']","['4.1', '60 ratings']","['Description', 'Bridget gets uncomfortable in her relationship with Mark after learning that he is averse to change and holds traditional values when it comes to voting. She also struggles to deal with her new boss.']"
The Incredible Hulk,2008,"['71% liked this film', 'Google users']","['4.1', '912 ratings']","['Description', 'Dr Bruce Banner subjects himself to high levels of gamma radiation which triggers his transformation into a huge green creature, the Hulk, whenever he experiences negative emotions such as anger.']"
Waterworld,1995,"['83% liked this film', 'Google users']","['4.2', '384 ratings']","['Description', 'The polar ice caps have melted down and most of Earth is underwater. In this situation, a mutated mariner fights starvation and reluctantly helps a woman and a young girl find dry land.']"
The Truman Show,1998,"['94% liked this film', 'Google users']","['4.8', '2018 ratings']","['Description', 'An insurance salesman is oblivious of the fact that his entire life is a TV show and his family members are mere actors. As he starts noticing things and uncovers the truth, he decides to escape.']"
Charlie's Angels,2000,"['83% liked this film', 'Google users']","['4.2', '228 ratings']","['Description', 'Natalie, Dylan and Alex are three beautiful and uniquely talented tough girls are given the task of finding the kidnapped owner of Knox Enterprises, Eric Knox, by their millionaire boss, Charlie.']"
The Fifth Element,1997,"['90% liked this film', 'Google users']","['4.6', '609 ratings']","['Description', 'Korben Dallas, a cab driver, tries to secure four mystical stones and a mysterious fifth element that alone can defeat a cosmic evil force during an apocalyptic war.']"
Jumanji,1995,"['91% liked this film', 'Google users']","['4.6', '642 ratings']","['Description', 'Two children come across a magical board game. While playing it, they meet Alan, a man who was trapped in the game, and attempt to free him while facing different kinds of danger.']"
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,"['82% liked this film', 'Google users']","['4.3', '1102 ratings']","['Description', 'Borat, a Kazakh resident, travels to the USA to make a documentary on the country. While on his mission, he learns that the USA is the same as his own country in many ways.']"
Robots,2005,"['80% liked this film', 'Google users']","['4.6', '482 ratings']","['Description', 'Rodney, a genius inventor, wants to meet his inspiration, Bigweld, who is a master inventor. In order to do so, he travels to the city and finds himself dealing with a corporate honcho.']"
Knight and Day,2008,"['78% liked this film', 'Google users']","['4.4', '341 ratings']","['Description', 'June Havens meets Roy Miller, a lethal operative, in an unlikely encounter and gets entangled in his adventures. She falls in love with him and has to figure out if he is a traitor or a good guy.']"
Total Recall,1990,"['91% liked this film', 'Google users']","['4.6', '211 ratings']","['Description', 'Douglas Quaid tries to find the reason behind his recurring dream about Mars. He soon learns that a false memory has been planted into his brain and the people responsible for this want him dead.']"
This Is It,2009,"['84% liked this film', 'Google users']","['4.9', '262 ratings']","['Description', ""Months before King of Pop Michael Jackson was set to stage a spectacular comeback at London's O2 arena, he died suddenly, under tragic circumstances. This documentary, directed by the man who was set to choreograph the highly anticipated gigs, offers a look at preparations for the shows and provides a revealing portrait of the man behind the controversy.""]"
Terminator: Dark Fate,2019,"['80% liked this film', 'Google users']","['3.5', '4396 ratings']","['Description', 'When an advanced Terminator is sent into the past, a cyborg and a seasoned female warrior team up to stop the death of a young woman who is fated to ensure the survival of the human race.']"
The Lone Ranger,2013,"['78% liked this film', 'Google users']","['4.4', '446 ratings']","['Description', 'John, a lawyer, joins his brother to capture Cavendish, an outlaw. Cavendish attacks and leaves them for dead but John is rescued by Tonto, a rebel Comanche, and they team up to take down the rogue.']"
Super 8,2011,"['78% liked this film', 'Google users']","['4.1', '408 ratings']","['Description', 'A train crash sets off a series of bizarre events in a small town. When Jack Lang, the deputy sheriff, begins the investigation, he uncovers a shocking secret.']"
Mojin: The Lost Legend,2015,"['79% liked this film', 'Google users']",[],"['Description', 'Three tomb raiders retire from their roles and move to New York to enjoy the rest of their lives. However, they are asked to resume duty in order to find out the reason behind the loss of a loved one.']"
Blade Runner 2049,2017,"['84% liked this film', 'Google users']","['4.1', '2000 ratings']","['Description', 'K, an officer with the Los Angeles Police Department, unearths a secret that could create chaos. He goes in search of a former blade runner who has been missing for over three decades.']"
Charlie's Angels: Full Throttle,2003,"['84% liked this film', 'Google users']","['4.1', '136 ratings']","['Description', ""The Angels track down rings containing the names of those in the FBI's witness protection programme. However, the witnesses begin to get murdered one by one.""]"
Parasite,2019,"['90% liked this film', 'Google users']","['4.6', '18203 ratings']","['Description', 'The struggling Kim family sees an opportunity when the son starts working for the wealthy Park family. Soon, all of them find a way to work within the same household and start living a parasitic life.']"
Rush Hour 3,2007,"['92% liked this film', 'Google users']","['4.7', '196 ratings']","['Description', ""Inspector Lee and LAPD detective James Carter travel to Paris to protect a French witness from the attacks of the Chinese triads. The two battle it out against the world's most deadly criminals.""]"
The Full Monty,1997,"['84% liked this film', 'Google users']","['4.8', '90 ratings']","['Description', 'After the steel mill they work at shuts down, a group of unemployed men decide to get involved in the stripping business to earn a living. They invest the money they have saved to get started.']"
Kung Fu Yoga,2017,"['86% liked this film', 'Google users']","['4.3', '211 ratings']","['Description', 'Jack (Jackie Chan), a world-renowned archaeology professor, and his team are on a grand quest to locate a lost ancient Indian treasure when they are ambushed by a team of mercenaries and left for dead. Using his vast knowledge of history and kung fu, Jack leads his team on a race around the world to', ' beat the mercenaries to the treasure and save an ancient culture.', '…&nbsp;', 'MORE']"
Annabelle,2014,"['75% liked this film', 'Google users']","['3.9', '1174 ratings']","['Description', ""John and Mia Form are attacked by members of a satanic cult, who use their vintage doll as a conduit to make their life miserable. This unleashes a string of paranormal events in the Forms' residence.""]"
The Village,2003,[],[],[]
Lost in Hong Kong,2015,"['81% liked this film', 'Google users']",[],"['Description', 'While on a sightseeing trip with his wife and brother-in-law, a man becomes involved in a murder investigation in Hong Kong.']"
Erin Brockovich,2000,"['90% liked this film', 'Google users']","['4.7', '306 ratings']","['Description', ""Erin, a single mother, becomes a legal assistant and comes across a case against Pacific Gas and Electric. When she discovers that the company is poisoning a town's water supply, she seeks justice.""]"
Pegasus,2019,"['78% liked this film', 'Google users']",[],"['Description', 'After enduring a five-year suspension, a once-legendary race car driver returns to the track against a brand new generation of opponents.']"
Marley & Me,2008,"['89% liked this film', 'Google users']","['4.7', '632 ratings']","['Description', ""A happily married couple's life changes after they adopt a free-spirited pup named Marley who, along with his antics, manages to teach them and their children important life lessons.""]"
Halloween,2018,"['86% liked this film', 'Google users']","['4.0', '1081 ratings']","['Description', 'After a narrow escape over four decades ago, Laurie Strode comes face-to-face with Michael Myers after he escapes from captivity. She must confront her worst fears and put an end to his killing spree.']"
Get Out,2016,[],[],[]
Us,2019,"['75% liked this film', 'Google users']","['3.1', '4182 ratings']","['Description', 'Adelaide Wilson and her family are attacked by mysterious figures dressed in red. Upon closer inspection, the Wilsons realise that the intruders are exact lookalikes of them.']"
Cliffhanger,1993,"['86% liked this film', 'Google users']","['4.1', '133 ratings']","['Description', 'A mountain ranger haunted by a failed rescue attempt returns to the mountains to help plane crash survivors. He soon learns that they are crooks using him to find the loot scattered near the wreckage.']"
Baahubali 2: The Conclusion,2017,"['81% liked this film', 'Google users']","['4.7', '3674 ratings']","['Description', ""After learning that his father was brutally killed by Bhallaladeva, Mahendra Baahubali raises an army to defeat him and release his mother from the former's captivity.""]"
Babe,1995,"['83% liked this film', 'Google users']","['4.5', '182 ratings']","['Description', ""Babe, an orphaned pig, learns to herd sheep after Arthur Hoggett, a farmer, wins him in a contest at a country fair. However, Rex, Hoggett's lead sheepdog, doesn't like Babe.""]"
Men in Black: International,2019,"['74% liked this film', 'Google users']","['3.0', '1397 ratings']","['Description', 'Agent M, a probationary member of the MIB, teams up with Agent H and uncovers a sinister plot that reveals a traitor in the organisation aiding an alien invasion.']"
Wild Hogs,2007,"['86% liked this film', 'Google users']","['4.4', '129 ratings']","['Description', 'Four middle-aged friends decide to rev up their routine lives with a freewheeling road trip, but after a run in with a Mexican motorcycle mob, they are less than eager.']"
High School Musical 3: Senior Year,2008,"['91% liked this film', 'Google users']","['4.7', '313 ratings']","['Description', 'Troy, Gabriella and their friends are in their senior year and have to make life-changing decisions, which results in them performing a spring musical to express their concerns.']"
Hercules,1997,"['88% liked this film', 'Google users']","['4.4', '598 ratings']","['Description', 'Hercules, son of the Greek god, Zeus, is turned into a half-god, half-mortal by the evil Hades. Hercules discovers his immortal heritage and Zeus tells him to return to Mount Olympus.']"
X-Men: Dark Phoenix,2019,"['72% liked this film', 'Google users']","['3.2', '1935 ratings']","['Description', 'After a mishap, Jean Grey is struck by a powerful ray of energy which she absorbs into her body, turning her into an uncontrollable liability for the X-Men.']"
True Grit,2010,"['88% liked this film', 'Google users']","['4.4', '258 ratings']","['Description', ""On a mission to find her father's killer, a 14-year-old girl and the US Marshall she hires are joined by a Texas Ranger. The trio's true grit is tested as they embark on a quest for justice.""]"
Bean,1997,"['81% liked this film', 'Google users']","['4.7', '271 ratings']","['Description', 'Mr Bean, a lazy security guard, is sent to the United States to bring a valued painting to a museum in Los Angeles. The mishaps in his journey lead to comical adventures.']"
American Hustle,2013,"['78% liked this film', 'Google users']","['4.2', '291 ratings']","['Description', 'Con artists Irving and Sydney are forced to work for Richie, an FBI agent, who offers them amnesty. However, they are used for a sting operation that leads to the conviction of prominent people.']"
Enemy of the State,1998,"['90% liked this film', 'Google users']","['4.6', '172 ratings']","['Description', ""A videotape containing footage of congressman Phil Hammersley's murder is planted on a lawyer, Robert Dean. Government operatives, who are trying to retrieve the evidence, target him.""]"
You've Got Mail,1998,"['89% liked this film', 'Google users']","['4.7', '283 ratings']","['Description', 'The owner of a bookstore chain meets the owner of a quaint little bookshop online and they fall in love with each other. However, they are unaware that they are actually business rivals.']"
Eragon,2006,"['70% liked this film', 'Google users']","['3.5', '381 ratings']","['Description', ""Eragon, a farm boy, stumbles upon a dragon's egg. He befriends the dragon cub and rides it only to realise that he is destined to be a dragon rider who must save his people from an evil king.""]"
Brother Bear,2003,"['91% liked this film', 'Google users']","['4.8', '650 ratings']","['Description', ""After a bear kills Kenai's older brother, he impulsively kills the bear to take revenge. As a punishment, he gets transformed into a bear and the only way out is to befriend a bear cub named Koda.""]"
The Mask of Zorro,1998,"['89% liked this film', 'Google users']","['4.4', '179 ratings']","['Description', ""Don De la Vega sets out as the Zorro to avenge his wife's murder and find his daughter. During his mission, he is aided by his successor, Alejandro, who also has his own agenda.""]"
The Ring,2002,"['80% liked this film', 'Google users']","['4.1', '460 ratings']","['Description', ""After her niece Katie's horrifying death, Rachel, a young journalist, investigates a mysterious videotape that kills its viewers within a week's time.""]"
The Blair Witch Project,1999,"['80% liked this film', 'Google users']","['3.4', '606 ratings']","['Description', 'Three students decide to go into the Maryland backwoods to cover the mystery behind the Blair Witch incidents. However, they lose their map and things take an unexpected turn.']"
Unbreakable,2000,"['86% liked this film', 'Google users']","['4.4', '341 ratings']","['Description', 'David, a security guard, survives a fatal train accident, only to be tracked down by a man named Elijah Price, who claims that David is blessed with superhuman abilities.']"
Journey to the West: The Demons Strike Back,2017,"['80% liked this film', 'Google users']","['4.2', '91 ratings']","['Description', 'A monk, along with his three disciples, sets out on an expedition to exorcise demonic possessions but realises that he has a lot to learn in order to overcome his shortcomings.']"
Dumb and Dumber,1994,"['87% liked this film', 'Google users']","['4.5', '505 ratings']","['Description', 'Two good-hearted but incredibly stupid friends stumble upon a briefcase. Unknown to them, it contains money that is intended for abductors with connections to the mob.']"
Glass,2019,"['78% liked this film', 'Google users']","['3.9', '1259 ratings']","['Description', 'While David confronts Kevin, a group of armed men intervene. Now locked in a mental facility with Elijah, the two find their superhuman abilities being questioned by Ellie, a secretive psychiatrist.']"
Grown Ups 2,2013,"['88% liked this film', 'Google users']","['4.4', '804 ratings']","['Description', 'Lenny Feder moves his family to his hometown and looks forward to spending time with his old friends. However, he and his companions soon face bizarre situations and new enemies.']"
The Peanuts Movie,2015,"['83% liked this film', 'Google users']","['4.8', '386 ratings']","['Description', 'Charlie falls for a red-haired girl, who moves into his neighbourhood, and tries to woo her. Meanwhile, his best friend Snoopy, with the help of his team, sets out to pursue his arch-rival, Red Baron.']"
The Godfather,1972,"['93% liked this film', 'Google users']","['4.8', '3325 ratings']","['Description', 'Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.']"
Rango,2011,"['86% liked this film', 'Google users']","['4.7', '1288 ratings']","['Description', 'Rango, a pet chameleon who aspires to be a hero, lands in a drought-affected town plagued by bandits. He claims to be the saviour and makes an attempt to protect it.']"
Four Weddings and a Funeral,1994,"['83% liked this film', 'Google users']","['3.9', '140 ratings']","['Description', 'Charles, a good-natured young introvert, tries to discover his true love for Carrie as he attends the wedding of four of his friends and a funeral.']"
Face/Off,1997,"['89% liked this film', 'Google users']","['4.4', '333 ratings']","['Description', ""Sean Archer, an FBI Agent, undergoes plastic surgery in order to impersonate and get hold of his son's killer and his arch-enemy, Castor Troy. Trouble brews when Castor begins impersonating Sean.""]"
Teenage Mutant Ninja Turtles: Out of the Shadows,2016,"['70% liked this film', 'Google users']","['4.5', '291 ratings']","['Description', 'Shredder joins forces with Baxter, a mad scientist, and two henchmen, Bebop and Rocksteady, to take over the world. Just as the Turtles gear up to combat them, they are faced with the villain Krang.']"
Dark Shadows,2012,"['79% liked this film', 'Google users']","['4.4', '492 ratings']","['Description', 'Rich playboy Barnabas earns the wrath of Angelique, a witch, when he breaks her heart. She turns him into a vampire and buries him alive. Two centuries later, Barnabas escapes to settle old scores.']"
Dolittle,2020,"['79% liked this film', 'Google users']","['4.0', '4538 ratings']","['Description', 'A physician, who can speak with animals, is summoned by the queen to find a cure for her life-threatening disease. Soon, he embarks on a journey with his furry friends in search of a healing tree.']"
Hulk,2003,"['64% liked this film', 'Google users']","['3.6', '438 ratings']","['Description', 'Scientist Bruce Banner is exposed to gamma radiation, which has its unique side effect. During his acts of resentments, Bruce transforms into an infuriated green monster.']"
Love Actually,2003,"['85% liked this film', 'Google users']","['4.3', '618 ratings']","['Description', 'Eight London couples try to deal with their relationships in different ways. Their tryst with love makes them discover how complicated relationships can be.']"
The Bravest,2019,"['81% liked this film', 'Google users']","['4.5', '100 ratings']","['Description', 'A team of determined firefighters try to overcome their own vulnerabilities while setting out to control the destruction caused by an oil pipeline explosion.']"
Welcome to the Sticks,2008,"['86% liked this film', 'Google users']","['4.5', '92 ratings']","['Description', 'Philippe Abrams helps run the post office in a picturesque small town in the south of France, but he is exiled to the north and must leave his family behind with the firm intent to quickly come back.']"
Back to the Future Part III,1990,"['95% liked this film', 'Google users']","['4.6', '416 ratings']","['Description', 'Marty travels back to 1885 to the Old West where Dr Emmett has fallen madly in love with a local schoolteacher. Marty must get him out of the wild West in order to save him from a premature end.']"
Pixels,2015,"['79% liked this film', 'Google users']","['4.4', '1096 ratings']","['Description', ""A special team of arcade gamers is put together to fight a mysterious alien race that watches classic games of the '80s and presumes them to be a declaration of war.""]"
Hercules,2014,"['74% liked this film', 'Google users']","['4.2', '240 ratings']","['Description', 'Hercules travels to Greece with his five loyal companions to sell his services for gold. A warlord threatens the king of Thrace to destroy his kingdom. Worried, the king approaches Hercules for help.']"
Rush Hour,1998,"['93% liked this film', 'Google users']","['4.8', '517 ratings']","['Description', ""When a Chinese consul's young daughter is kidnapped, Hong Kong Detective Lee must team up with Carter, a loud-mouthed LA detective. Distinctive work styles and cultural differences pose hiccups.""]"
Journey to the Center of the Earth,2008,"['85% liked this film', 'Google users']","['4.4', '387 ratings']","['Description', 'A scientist sets out to search for his missing brother along with his nephew and their mountain guide. However, they stumble upon a mysterious lost world during their journey.']"
After Earth,2013,"['70% liked this film', 'Google users']","['3.8', '554 ratings']","['Description', 'Kitai and his father Cypher crash-land on Earth a thousand years after cataclysmic events force humans to flee it. After Cypher injures himself, Kitai must tread on an uncharted terrain for help.']"
A Few Good Men,1992,"['91% liked this film', 'Google users']","['4.7', '419 ratings']","['Description', 'Daniel Kaffee, a US military lawyer, defends two US marines charged with murdering a fellow marine at the Guantanamo Bay Naval Base in Cuba. The needle of suspicion, thus, points to a colonel.']"
Cloudy with a Chance of Meatballs,2009,"['85% liked this film', 'Google users']","['4.6', '451 ratings']","['Description', 'Flint Lockwood, an inventor who is considered a nuisance, puts his latest invention to work when his town faces an economic crisis. His invention makes him popular until it spirals out of control.']"
8 Mile,2002,"['91% liked this film', 'Google users']","['4.8', '1185 ratings']","['Description', ""Jimmy 'B-Rabbit' Smith is an aspiring rapper with a messed-up life. He must use his rap skills to succeed in a rapping contest as this could be his last chance to get out of the ghetto.""]"
Daddy's Home,2015,"['86% liked this film', 'Google users']","['4.3', '456 ratings']","['Description', 'Radio executive Brad Taggart attempts to be a good father to his stepchildren but his problems increase multifold when their biological parent, Dusty Mayron, suddenly comes back into their lives.']"
RoboCop,2014,"['77% liked this film', 'Google users']","['3.8', '281 ratings']","['Description', 'When Alex Murphy, a cop, gets injured in a bomb explosion, he is transformed into a robot police officer in order to combat criminal activities in the United States.']"
Eraser,1996,"['82% liked this film', 'Google users']","['4.1', '62 ratings']","['Description', 'John, a marshal with the Witness Security Protection Program, tries to protect himself and Lee Cullen, a witness in an illegal arms deal, after he learns that his mentor, a fellow marshal, is a mole.']"
Alien: Covenant,2017,"['80% liked this film', 'Google users']","['3.6', '869 ratings']","['Description', 'The crew of a colony ship, Covenant, receive a radio transmission from a habitable planet. However, they encounter deadly aliens while investigating the planet and try to escape.']"
Sully,2016,['Did you like this film?'],"['4.7', '628 ratings']","['Description', 'Captain Chesley, a commercial pilot, makes an emergency landing on the Hudson River after his plane gets hit by birds. However, an investigation into the matter might prove to be fatal to his career.']"
Assassin's Creed,2016,"['69% liked this film', 'Google users']","['3.8', '632 ratings']","['Description', 'With the help of technology, Callum learns that he is a descendant of a dangerous society. He travels back in time to learn about his ancestors and acquire skills to defeat an evil organisation.']"
Click,2006,"['83% liked this film', 'Google users']","['4.4', '686 ratings']","['Description', 'An architect discovers a universal remote that permits him to fast-forward and rewind to certain portions of his life. Complexities emerge when the remote begins to override his preferences.']"
Legend of Deification,2020,"['83% liked this film', 'Google users']","['4.6', '246 ratings']","['Description', ""Atop the ruins of war, top commander JIANG ZIYA is given the task to banish the Nine-tailed Fox Demon who threatens all mortals' very existence. When he discovers the Nine-tailed Fox's life linked to the soul of an innocent girl, he is faced with a challenging decision, follow the will of heaven or find his own path to righteousness.""]"
Resident Evil: Retribution,2012,"['86% liked this film', 'Google users']","['3.9', '172 ratings']","['Description', ""When Alice learns that the Umbrella Corporation's deadly virus is inching towards destroying the human race, she decides to hunt down the people responsible for unleashing the virus.""]"
Die Hard 2,1990,"['92% liked this film', 'Google users']","['4.1', '157 ratings']","['Description', 'When a team of terrorists threaten to destroy an airport and demand the release of the drug lord Ramon Esperanza, detective John McClane tries to stop them.']"
Crocodile Dundee II,1988,"['88% liked this film', 'Google users']",[],"['Description', ""Sue's ex-husband sends her photographs of a brutal crime. Desperate to destroy the evidence, the gangsters follow her to Australia, where Mick demonstrates his outback skills to keep her safe.""]"
Planes,2013,"['69% liked this film', 'Google users']","['3.6', '309 ratings']","['Description', 'Dusty, a crop duster plane, dreams of becoming a great air racer. Along with his friend, Chug, a fuel truck, Dusty practises flying manoeuvres in order to qualify for the Wings Across the Globe race.']"
Crazy Rich Asians,2018,"['91% liked this film', 'Google users']","['4.5', '1738 ratings']","['Description', 'Rachel, a professor, dates a man named Nick and looks forward to meeting his family. However, she is shaken up when she learns that Nick belongs to one of the richest families in the country.']"
Batman & Robin,1997,"['57% liked this film', 'Google users']","['2.6', '519 ratings']","['Description', 'Batman and Robin try to prevent the evil pair of Mr Freeze and Poison Ivy from freezing the town. While doing so, they also try hard to continue their partnership.']"
Downton Abbey,2019,"['85% liked this film', 'Google users']","['4.1', '687 ratings']","['Description', 'Robert and Cora Crawley are informed that they will be visited by the royal family. However, the visit does not go as per plan and drama ensues.']"
Gulliver's Travels,2010,"['71% liked this film', 'Google users']","['4.2', '150 ratings']","['Description', 'Lemuel is hurtled to an undiscovered land, where he reinvents himself as the hero of Lilliputians by impressing them with his size. Unprepared for leading them, his ineptitude puts him in danger.']"
Gone in 60 Seconds,2000,"['84% liked this film', 'Google users']","['3.0', '282 ratings']","['Description', ""Memphis Raines, a former prisoner, returns to the crime world to save Kip's life when he learns that his brother faces threat from gangster Raymond Calitri.""]"
Saturday Night Fever,1977,"['77% liked this film', 'Google users']","['3.8', '292 ratings']","['Description', 'Tony spends his Saturdays at a disco where his stylish moves raise his popularity among the patrons. But his life outside the disco is not easy and things change when he gets attracted to Stephanie.']"
Silver Linings Playbook,2012,"['87% liked this film', 'Google users']","['4.6', '917 ratings']","['Description', ""Pat, who is sent to a mental health facility after brutally attacking his wife's lover, walks out of the centre after eight months and meets Tiffany in a bid to mend ways with his wife.""]"
2 Fast 2 Furious,2003,"['89% liked this film', 'Google users']","['4.5', '461 ratings']","['Description', 'Brian, a former officer, partners with Roman Pierce, his ex-convict friend. As a part of a deal with the FBI, Brian and Roman have to bring down Verone, a drug lord, to erase their criminal record.']"
Howl's Moving Castle,2004,"['96% liked this film', 'Google users']","['4.9', '3702 ratings']","['Description', ""Jealous of Sophie's closeness to Howl, a wizard, the Witch of Waste transforms her into an old lady. Sophie must find a way to break the spell with the help of Howl's friends, Calcifer and Markl.""]"
Hidden Figures,2016,"['93% liked this film', 'Google users']","['4.8', '2485 ratings']","['Description', ""Three female African-American mathematicians play a pivotal role in astronaut John Glenn's launch into orbit. Meanwhile, they also have to deal with racial and gender discrimination at work.""]"
A.I. Artificial Intelligence,2001,"['84% liked this film', 'Google users']","['4.5', '534 ratings']","['Description', 'David, a highly advanced robotic boy, longs to become a human child so that he can regain the love of his foster mother who abandoned him. He soon embarks on a journey to make his dreams come true.']"
Dead Poets Society,1989,"['94% liked this film', 'Google users']","['4.8', '2171 ratings']","['Description', 'John Keating, a progressive English teacher, tries to encourage his students to break free from the norm, go against the status quo and live life unapologetically.']"
Spy,2015,"['78% liked this film', 'Google users']","['4.5', '461 ratings']","['Description', 'Susan Cooper, a CIA analyst, works behind the desk owing to her expertise in high-tech equipment. When an agent is compromised, she volunteers to be a spy.']"
