review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year
"True, Ratner is no Singer, but in The Last Stand he delivers the goods with gusto.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"To anyone more discerning, and certainly to those fans who cherished the way the first two movies took pains to honour what made the X-Men such special mutants, the final blowout will seem like a blown opportunity.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"Of the three X-episodes, Ratner's is the least involving.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"How many distinguished veterans of the Royal Shakesepeare Company does it take to make a bi-g-budget trashy movie? Well, two.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"The Last Stand isn't awful, but Ratner lacks Singer's subtlety and ability to cleanly navigate convoluted story lines crammed with super-powered characters.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"Ratner seems incapable of infusing his overly busy story with nuance, depth or the wonderful wry humor that connected us so thoroughly to these characters in the first place, and so their sacrifices never register.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"Oppressive overkill can suck the life from any hallowed institution. Even, dare say it, the X-Men.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"Though this third film, directed by the ham-handed Brett Ratner (Rush Hour), slides into overstuffed narrative complication and self-parodying quippiness, the pop mythology remains intact, even vital.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"I don't think anyone's going to call The Last Stand poetic, but it passes quickly and -- when it counts -- delivers enough of the summer-movie goods.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"The three-quel is a talky D(N)a Vinci Code, devoid of pacing and rife with inside jokes.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"The spectacles linger in the imagination, but the rest is pretty easy to forget.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"But can the series hold together for another sequel? Given the final few scenes, I'd say it's not quite time to X out the X-Men.",X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
It's not really a shock that Brett Ratner isn't a director in Bryan Singer's league.,X-Men: The Last Stand,2006,X-Men: The Last Stand - Movie Reviews,"Action , Sci-Fi , Adventure , Fantasy",2006,2015
"The plot is illogical to the core, which one would have accepted had the film been a sheer roller-coaster ride, leaving you little time to notice the holes in the plot.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"The derivative National Treasure: Book of Secrets is a smooth, lightweight action film for undemanding audiences.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"Less twisty than its 2004 predecessor and yet somehow more incoherent, National Treasure: Book of Secrets plays like a duplicate schematic of the first.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
This just might be the silliest movie ever to feature three Academy Award winners.,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"Leave it to coproducer Jerry Bruckheimer to revive the Indiana Jones cycle without the period setting, the camp elements, or Spielberg's efficiency; director Jon Turteltaub just plods along.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"Since Book of Secrets doesn't take its faux-intricate story seriously, there's no reason this review should either.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
The whole film is nothing more than processed cinematic cheese but for once I was more than content to spread it over my popcorn cracker.,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"This sequel is what you would expect: If you liked the original, you'll probably enjoy this retread. But be warned: It bogs down in a drawn-out scene near the end.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"As much as you want to applaud the movie's winking commitment to its own Looney Tunes logic, it's frustrating when lazy and illogical plot devices are used like cattle prods.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
The movie's convoluted hide-and-seek plot also demands a White House break-in that makes about as much sense as subprime mortgage rates.,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"This American history-themed action thriller doesn't get many points for realism, but it makes up ground in so many other areas that you probably won't care.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"Is it possible to enjoy Book of Secrets? Obviously, although its lunacy requires a level of suspension of disbelief that some will be incapable of attaining.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
The hyperactive sequel National Treasure: Book of Secrets sends its archaeologist hero on a globetrotting quest that might have been devised after a long night of Wikipedia surfing.,National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"It's another flick about maps, landmarks and buried treasure that makes The Da Vinci Code look like Tolstoy.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"All you can do is sit and watch, and wish there was more wonder.",National Treasure: Book of Secrets,2007,National Treasure: Book of Secrets - Movie Reviews,"Action , Adventure",2007,2014
"If 300 represents an evolution in 'virtual' cinema, then at the same time it tells a story that transports us back to the violent roots of western civilisation.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
300 has one-dimensional caricatures who talk like professional wrestlers plugging their next feud.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"In this handsome pantomime, the performances are not what we are watching.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
It is violent enough to make you shudder and close enough to fascist art to make your skin crawl.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
A muscle-magazine fantasy crossed with a video game and an Army recruiting film.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"Apart from anything else, the idea of America having the Spartans' underdog status is not plausible.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"Visually stunning, thoroughly belligerent and as shallow as a pygmy's paddling pool, this is a whole heap of style tinged with just a smidgen of substance.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
300 was as pathetically puerile as I had expected.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"It might have been one of the great all-time mad, bad movies but for one thing - it's just sooo boring.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
Taken on it's own terms - as Greek myth meets Looney Tunes - it's kind of a masterpiece.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"As to this pumped-up spectacle's other aims, it's anybody's guess: selling gladiatorial chest-beating as beefcake erotica? Combining a movie and its own video-game spin-off into one package? Being both a dessert topping and a floor wax?",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"Part of the fascination of the Thermopylae story is that it really happened, and it helped define real heroism. There's nothing remotely like reality to be had in this film.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
The kids just want to have fun. Many of them will. But what does that say about another Greek contribution -- Western civilization?,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"If the movie's neocon message is as thin as a politician's excuse, that's to be expected. But what's surprising here is that the sights are just as meagre.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
Filled from first frame to last with images that are meant to burn themselves into your memory and force you to tell your friends about what you just saw.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"History is inconveniently complex. And so we get Frank Miller's version, in which everything is simplified to the point of porridge.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"Keeping in mind Slate's Mickey Kaus' Hitler Rule -- never compare anything to Hitler -- it isn't a stretch to imagine Adolf's boys at a 300 screening, heil-fiving each other throughout and then lining up to see it again.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"Watching 300, there's the arresting sense of eavesdropping on another time.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
It's impossible not to be moved by its nearly nonstop visual assault.,300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
"It's most definitely a Spartan movie, yet it's really all about wretched excess.",300,2007,300 - Movie Reviews,"Drama , Action , Adventure",2007,2009
Outstanding action and performance; lots of blood.,The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
It's easy to stand back and wax ironic about The Last Samurai. But it's not all that difficult to succumb to its full-spirited romanticism either.,The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Competently mounted in its studiedly immersive, elongated way, Zwick's earnest costume epic dresses a knee-jerk, reactionary sensibility in exotic garb.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"As brisk as it is rich, The Last Samurai is much more fun than a mere history lesson.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"The Last Samurai is an idyll in which the savageries of existence are transcended by spiritual devotion. That's a beautiful dream, and it gives the film a deep pleasingness, but the fullness of life and its blackest ambiguities are sacrificed.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Zwick is attracted to the notions of victory in defeat and the romantic purity of self-sacrifice. His film is, however, a trifle earnest and overlong.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Disappointingly content to recycle familiar attitudes about the nobility of ancient cultures, Western despoilment of them, liberal historical guilt, the unrestrainable greed of capitalists and the irreducible primacy of Hollywood movie stars.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"It's ultimately a Tom Cruise movie in a way that, say, Eyes Wide Shut, for better or worse, was not.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"There are pleasures to be had in the handsome, heroic The Last Samurai. But they're all on the surface.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
The script lays on hokey narration and bombastic dialogue.,The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Even though The Last Samurai is brutal, exhausting and so not my kind of movie, it is extremely well-made and undeniably engrossing.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"The film laughably draws good guy-bad guy distinctions with the objective of mythologizing the samurai, but in the end, those distinctions don't mean much.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"But where the visuals astound, the story is lacking. It gets the pulse racing and asks tough questions to be sure, the picture just doesn't know what to do with either once they are produced.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
A benumbed epic with an action figure for a hero.,The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Despite its intelligent agenda, swollen heart and fabulously epic surface, amounts to a didactic banality: a white guy's politically correct lesson abroad.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"It's wannabe-ism on a multimillion-dollar scale, with an icon of Japanese culture somehow crudely penetrated by an interloper and turned inside out.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"It looks great in a costume spectacle way, and it has some truly terrific action sequences.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"As movie-star vehicles go, Last Samurai is a fine, well-crafted example.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Cruise's undeniable star voltage makes it all palatable, and the film is gorgeous to behold and even to listen to.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Grand and undersized, truncated and overlong, The Last Samurai reminds us just enough of what epics used to be to disappoint.",The Last Samurai,2003,The Last Samurai - Movie Reviews,"Action , Adventure , War , Drama",2003,2011
"Once I got up to speed, it moves along at such a pace and it's got such an energy that I got swept up in it.",Demon Slayer: Mugen Train,2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train - Movie Reviews,"Fantasy , Adventure , Action , Anime",2021,2021
"The animation is fantastic, a superb blend of classic anime character design supplemented by CGI effects and swooping camera work.",Demon Slayer: Mugen Train,2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train - Movie Reviews,"Fantasy , Adventure , Action , Anime",2021,2021
"Anyone who's hacked through enough ""Demon Slayer"" to keep pace with ""Mugen Train"" can surely handle what this movie has to offer. It's the rest of us who might want to think twice.",Demon Slayer: Mugen Train,2020,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train - Movie Reviews,"Fantasy , Adventure , Action , Anime",2021,2021
