Title,Year,google_use_like,google_use_score,google_use_n_rev,movie_description,imdb_score,rotten_tom_score,metacritic_score,id
Aladdin,2019,0.9,0.8800000000000001,4370.0,"Aladdin, a kind thief, woos Jasmine, the princess of Agrabah, with the help of Genie. When Jafar, the grand vizier, tries to usurp the king, Jasmine, Aladdin and Genie must stop him from succeeding.",0.6900000000000001,0.57,,Aladdin-2019
Pirates of the Caribbean: On Stranger Tides,2011,0.89,0.9199999999999999,718.0,"Captain Jack Sparrow sets sail in search of the legendary fountain of youth. His mission puts him up against a mysterious woman from his past, an old enemy Barbossa and the feared pirate, Blackbeard.",0.6599999999999999,0.33,,Pirates of the Caribbean: On Stranger Tides-2011
Despicable Me 3,2017,0.84,0.8400000000000001,569.0,"Gru meets his long-lost twin brother Dru, after getting fired from the Anti-Villain League. However, the siblings find themselves at loggerheads with a child actor-turned-villain.",0.63,0.59,0.49,Despicable Me 3-2017
Jurassic Park,1993,0.92,0.96,1721.0,"John Hammond, an entrepreneur, opens a wildlife park containing cloned dinosaurs. However, a breakdown of the island's security system causes the creatures to escape and bring about chaos.",0.8099999999999999,0.92,0.68,Jurassic Park-1993
Finding Dory,2016,0.86,0.8800000000000001,616.0,"With vague memories of her past, an amnesiac blue tang fish, Dory, sets off in search of her long-lost parents with the help of her friends, clownfish Marlin and his son Nemo.",0.73,0.94,,Finding Dory-2016
Star Wars: Episode I - The Phantom Menace,1999,0.85,0.78,1683.0,"Jedi Knights Qui-Gon Jinn and Obi-Wan Kenobi set out to stop the Trade Federation from invading Naboo. While travelling, they come across a gifted boy, Anakin, and learn that the Sith have returned.",0.65,0.52,,Star Wars: Episode I - The Phantom Menace-1999
Alice in Wonderland,2010,0.88,0.8800000000000001,1157.0,"Alice, now 19 years old, follows a rabbit in a blue coat to a magical wonderland from her dreams where she is reunited with her friends who make her realise her true destiny.",0.64,0.51,,Alice in Wonderland-2010
Zootopia,2016,0.9,0.9400000000000001,2357.0,"When Judy Hopps, a rookie officer in the Zootopia Police Department, sniffs out a sinister plot, she enlists the help of a con artist to solve the case in order to prove her abilities to Chief Bogo.",0.8,0.98,0.78,Zootopia-2016
The Hobbit: An Unexpected Journey,2012,0.87,0.9,1041.0,"Bilbo Baggins, a hobbit, is persuaded into accompanying a wizard and a group of dwarves on a journey to reclaim the city of Erebor and all its riches from the dragon Smaug.",0.78,0.64,,The Hobbit: An Unexpected Journey-2012
Harry Potter and the Sorcerer's Stone,2001,0.93,0.96,8119.0,"Harry Potter, an eleven-year-old orphan, discovers that he is a wizard and is invited to study at Hogwarts. Even as he escapes a dreary life and enters a world of magic, he finds trouble awaiting him.",0.76,0.81,,Harry Potter and the Sorcerer's Stone-2001
The Dark Knight,2008,0.94,0.9800000000000001,6900.0,"After Gordon, Dent and Batman begin an assault on Gotham's organised crime, the mobs hire the Joker, a psychopathic criminal mastermind who offers to kill Batman and bring the city to its knees.",0.9,0.94,0.84,The Dark Knight-2008
Harry Potter and the Deathly Hallows: Part 1,2010,0.92,0.96,1739.0,"After Voldemort takes over the Ministry of Magic, Harry, Ron and Hermione are forced into hiding. They try to decipher the clues left to them by Dumbledore to find and destroy Voldemort's Horcruxes.",0.77,0.77,,Harry Potter and the Deathly Hallows: Part 1-2010
Despicable Me 2,2013,0.85,0.9,413.0,"Now that Gru (Steve Carell) has forsaken a life of crime to raise Margo, Agnes and Edith, he's trying to figure out how to provide for his new family. As he struggles with his responsibilities as a father, the Anti-Villain League -- an organization dedicated to fighting evil -- comes calling. The AV",0.73,0.75,0.62,Despicable Me 2-2013
The Jungle Book,2016,0.86,0.9,795.0,"Mowgli is a boy brought up in the jungle by a pack of wolves. When Shere Khan, a tiger, threatens to kill him, a panther and a bear help him escape his clutches.",0.74,0.94,,The Jungle Book-2016
Jumanji: Welcome to the Jungle,2017,0.89,0.8400000000000001,6615.0,"When four students play with a magical video game, they are drawn to the jungle world of Jumanji, where they are trapped as their avatars. To return to the real world, they must finish the game.",0.67,0.71,,Jumanji: Welcome to the Jungle-2017
The Hobbit: The Battle of the Five Armies,2014,0.85,0.9,650.0,Bilbo fights against a number of enemies to save the life of his Dwarf friends and protects the Lonely Mountain after a conflict arises.,0.74,0.59,,The Hobbit: The Battle of the Five Armies-2014
Pirates of the Caribbean: At World's End,2007,0.92,0.96,737.0,"As the East India Company gains untold power and persecutes pirates en masse, Will, Elizabeth and Captain Barbossa decide to bring Jack Sparrow back from the dead for one final battle.",0.71,0.44,,Pirates of the Caribbean: At World's End-2007
The Hobbit: The Desolation of Smaug,2013,0.81,0.9199999999999999,422.0,"Bilbo Baggins, a hobbit, and his companions face great dangers on their journey to Laketown. Soon, they reach the Lonely Mountain, where Bilbo comes face-to-face with the fearsome dragon Smaug.",0.78,0.74,,The Hobbit: The Desolation of Smaug-2013
The Lord of the Rings: The Two Towers,2002,0.89,0.96,896.0,Frodo and Sam arrive in Mordor with the help of Gollum. A number of new allies join their former companions to defend Isengard as Saruman launches an assault from his domain.,0.8699999999999999,0.95,,The Lord of the Rings: The Two Towers-2002
Harry Potter and the Order of the Phoenix,2007,0.93,0.9400000000000001,1576.0,"Harry Potter and Dumbledore's warning about the return of Lord Voldemort is not heeded by the wizard authorities who, in turn, look to undermine Dumbledore's authority at Hogwarts and discredit Harry.",0.75,0.77,,Harry Potter and the Order of the Phoenix-2007
Finding Nemo,2003,0.9,0.9,1049.0,"After his son gets abducted from the Great Barrier Reef and is dispatched to Sydney, Marlin, a meek clownfish, enlists the help of a forgetful fish and embarks on a journey to bring him home.",0.8099999999999999,0.99,,Finding Nemo-2003
Harry Potter and the Half-Blood Prince,2009,0.93,0.9400000000000001,1522.0,"Dumbledore and Harry Potter learn more about Voldemort's past and his rise to power. Meanwhile, Harry stumbles upon an old potions textbook belonging to a person calling himself the Half-Blood Prince.",0.76,0.84,0.78,Harry Potter and the Half-Blood Prince-2009
Shrek 2,2004,0.9,0.96,1308.0,"When Shrek and Fiona return from their honeymoon, her parents, the rulers of Far Far Away, invite them over. But as the king does not like Shrek, he enlists a fairy to keep him away from his daughter.",0.72,0.89,,Shrek 2-2004
Bohemian Rhapsody,2018,0.94,0.96,3595.0,"With his impeccable vocal abilities, Freddie Mercury and his rock band, Queen, achieve superstardom. However, amidst his skyrocketing success, he grapples with his ego, sexuality and a fatal illness.",0.79,0.6,,Bohemian Rhapsody-2018
The Lord of the Rings: The Fellowship of the Ring,2001,0.88,0.96,3661.0,"A young hobbit, Frodo, who has found the One Ring that belongs to the Dark Lord Sauron, begins his journey with eight companions to Mount Doom, the only place where it can be destroyed.",0.8800000000000001,0.91,,The Lord of the Rings: The Fellowship of the Ring-2001
Harry Potter and the Goblet of Fire,2005,0.92,0.9400000000000001,2070.0,"When Harry is chosen as a fourth participant of the inter-school Triwizard Tournament, he is unwittingly pulled into a dark conspiracy that endangers his life.",0.77,0.88,0.81,Harry Potter and the Goblet of Fire-2005
The Battle at Lake Changjin,2021,0.65,0.8,169.0,"Chinese soldiers won the battle at Lake Changjin (also known as battle of Chosin Reservoir) in extreme weather conditions. The fight between the United States and China, which took place from November 27 to December 24 in 1950.",,,,The Battle at Lake Changjin-2021
Spider-Man 3,2007,0.82,0.86,1822.0,Peter Parker becomes one with a symbiotic alien that bolsters his Spider-Man avatar and affects his psyche. He also has to deal with Sandman and maintain a fragmented relationship with Mary Jane.,0.62,0.63,,Spider-Man 3-2007
Spectre,2015,0.86,0.74,1089.0,"James Bond receives an obscure message from M about a sinister organisation, 'SPECTRE'. With the help of Madeleine, he uncovers the conspiracy, only to face an ugly truth.",0.6799999999999999,0.63,,Spectre-2015
Spider-Man: Homecoming,2017,0.82,0.8400000000000001,2570.0,Peter Parker tries to stop the Vulture from selling weapons made with advanced Chitauri technology while trying to balance his life as an ordinary high school student.,0.74,0.92,0.73,Spider-Man: Homecoming-2017
Harry Potter and the Chamber of Secrets,2002,0.91,0.9400000000000001,2018.0,"A house-elf warns Harry against returning to Hogwarts, but he decides to ignore it. When students and creatures at the school begin to get petrified, Harry finds himself surrounded in mystery.",0.74,0.82,,Harry Potter and the Chamber of Secrets-2002
